DERMODY ASSOCIATES, INC.  222339464 -- BusinessCode: 423600 -- NJ : SPARTA
  [401(k)] DERMODY ASSOCIATES, INC. 401(K) PROFIT SHARING PLAN [222339464-003]
    2023  [codes: 2A2E2F2H2J2K2T3D]    https://efast2-filings-public.s3.amazonaws.com/prd/2024/10/10/20241010185342NAL0010351731001.pdf
        Participants: 136
        Available Investments:
           - JOHN HANCOCK USA
                 : 500 INDEX FUND  [010233346-000] P  $72,190
                 : BARON REAL ESTATE FUND  [010233346-000] P  $10,805
                 : BLACKROCK HEALTH SCIENCES OPP  [010233346-000] P  $59,120
                 : BLACKROCK LIFE PATH INDEX 2065  [010233346-000] P  $35,960
                 : BLACKROCK LIFEPATH INDEX 2025  [010233346-000] P  $384,420
                 : BLACKROCK LIFEPATH INDEX 2030  [010233346-000] P  $809,635
                 : BLACKROCK LIFEPATH INDEX 2035  [010233346-000] P  $911,835
                 : BLACKROCK LIFEPATH INDEX 2040  [010233346-000] P  $489,438
                 : BLACKROCK LIFEPATH INDEX 2045  [010233346-000] P  $230,550
                 : BLACKROCK LIFEPATH INDEX 2050  [010233346-000] P  $1,110,003
                 : BLACKROCK LIFEPATH INDEX 2055  [010233346-000] P  $250,665
                 : BLACKROCK LIFEPATH INDEX 2060  [010233346-000] P  $346,304
                 : BLACKROCK LIFEPATH INDEX RET  [010233346-000] P  $1,583,909
                 : BLUE CHIP GROWTH FUND  [010233346-000] P  $88,766
                 : FIDELITY INTERNATIONAL INDEX  [010233346-000] P  $45,681
                 : FIDELITY MID CAP INDEX FUND  [010233346-000] P  $57,488
                 : HARTFORD MIDCAP FUND  [010233346-000] P  $116,220
                 : JANUS HENDERSON TRITON FUND  [010233346-000] P  $13,807
                 : JH DISCIPLINED VALUE INTL FUND  [010233346-000] P  $108
                 : JOHN HANCOCK INCOME FUND  [010233346-000] P  $372
                 : JOHN HANCOCK STABLE VALUE FUND  [010233346-000] P  $318,676
                 : JPMORGAN EQUITY INCOME  [010233346-000] P  $7,814
                 : LORD ABBOTT HIGH YIELD FUND  [010233346-000] P  $44,467
                 : OAKMARK FUND  [010233346-000] P  $6,048
                 : SCIENCE & TECHNOLOGY FUND  [010233346-000] P  $52,675
                 : T. ROWE PRICE SML CAP VAL  [010233346-000] P  $32,122
                 : THORBURG GLOBAL OPPORTUNITIES  [010233346-000] P  $19,253
                 : THORNBURG INTL GROWTH  [010233346-000] P  $15,662
                 : TIAA-CREF LARGE CAP GROWTH INDEX  [010233346-000] P  $187,901
                 : TIAA-CREF LARGE CAP VALUE INDEX  [010233346-000] P  $62,460
                 : TIAA-CREF LARGE-CAP GROWTH INX  [010233346-000] P  $14,292
                 : UNDISCOVERED MGR BEHAVIORAL  [010233346-000] P  $15,851
                 : VANGUARD INTERNATIONAL GROWTH  [010233346-000] P  $41,201
                 : VANGUARD MID-CAP GROWTH ETF  [010233346-000] P  $15,854
                 : VANGUARD MID-CAP VALUE ETF  [010233346-000] P  $3,606
                 : VANGUARD SMALL CAP GROWTH INDEX  [010233346-000] P  $25,975
                 : VANGUARD SMALL CAP VALUE INDEX  [010233346-000] P  $277
                 : VIRTUS CEREDEX MCV EQUITY  [010233346-000] P  $2,696
           = SUBTOTAL       $      7,484,106
           = OTHER          $     -7,484,106
