RJK FINANCIAL, LLC  475350569 -- BusinessCode: 524210 -- IL : DOWNERS GROVE
  [401(k)] RJK FINANCIAL, LLC 401(K) RETIREMENT SAVINGS PLAN & TRUST [475350569-001]
    2017  [codes: 2E2J2K2F2G3H3D]    https://efast2-filings-public.s3.amazonaws.com/prd/2018/8/6/20180806094947P030005202517001.pdf
        Participants: 45
        Available Investments:
           - JOHN HANCOCK USA
                 : 500 INDEX FUND  [010233346-000] P  $112,190
                 : AMERICAN BALANCED FUND  [010233346-000] P  $15,843
                 : AMERICAN CENTURY HERITAGE  [010233346-000] P  $117,820
                 : BLACKROCK GLOBAL ALLOCATION  [010233346-000] P  $49,393
                 : BLUE CHIP GROWTH FUND  [010233346-000] P  $9,283
                 : DFA U.S. SMALL CAP FUND  [010233346-000] P  $1,693
                 : EUROPACIFIC GROWTH FUND  [010233346-000] P  $16,333
                 : FIDELITY ADVISOR TOTAL BOND  [010233346-000] P  $6,267
                 : FRANKLIN SMALL-MID GROWTH  [010233346-000] P  $3,672
                 : INTERNATIONAL VALUE FUND  [010233346-000] P  $1,665
                 : INTL EQUITY INDEX FUND  [010233346-000] P  $1,294
                 : INVESCO SMALL CAP GROWTH  [010233346-000] P  $1,934
                 : INVESTMENT COMPANY OF AMERICA  [010233346-000] P  $11,796
                 : JH MULTIMANAGER 2020 LIFETIME  [010233346-000] P  $11,126
                 : JH MULTIMANAGER 2035 LIFETIME  [010233346-000] P  $124,686
                 : JH MULTIMANAGER 2040 LIFETIME  [010233346-000] P  $13,290
                 : JH MULTIMANAGER 2045 LIFETIME  [010233346-000] P  $183,169
                 : JH MULTIMANAGER 2050 LIFETIME  [010233346-000] P  $36,761
                 : JH MULTIMANAGER 2055 LIFETIME  [010233346-000] P  $10,800
                 : JH MULTIMANAGER 2060 LIFETIME  [010233346-000] P  $10,509
                 : JH MULTIMANAGER AGGRESSIVE LS  [010233346-000] P  $45,361
                 : JH MULTIMANAGER BALANCED LS  [010233346-000] P  $250,857
                 : JH MULTIMANAGER GROWTH LS  [010233346-000] P  $185,064
                 : JH MULTIMANAGER MODERATE LS  [010233346-000] P  $153,163
                 : JOHN HANCOCK DISCIPLINED VALUE  [010233346-000] P  $2,346
                 : MID CAP INDEX FUND  [010233346-000] P  $62,761
                 : MID CAP STOCK FUND  [010233346-000] P  $9,561
                 : MID VALUE FUND  [010233346-000] P  $46,939
                 : MONEY MARKET FUND  [010233346-000] P  $28,817
                 : OPPENHEIMER GLOBAL  [010233346-000] P  $4,512
                 : SCIENCE & TECHNOLOGY FUND  [010233346-000] P  $59,811
                 : SMALL CAP INDEX FUND  [010233346-000] P  $7,414
                 : T. ROWE PRICE EQUITY INC  [010233346-000] P  $2,430
                 : T. ROWE PRICE SCI & TECH  [010233346-000] P  $1,750
                 : TEMPLETON WORLD  [010233346-000] P  $3,044
                 : THE GROWTH FUND OF AMERICA  [010233346-000] P  $17,264
                 : TOTAL BOND MARKET FUND  [010233346-000] P  $6,843
                 : TOTAL STOCK MARKET INDEX FUND  [010233346-000] P  $9,194
                 : UTILITIES FUND  [010233346-000] P  $1,538
                 : VANGUARD ENERGY FUND  [010233346-000] P  $3,245
                 : VANGUARD SMALL CAP GROW INDEX  [010233346-000] P  $1,248
                 : VANGUARD SMALL CAP VALUE INDEX  [010233346-000] P  $1,450
                 : WASHINGTON MUTUAL INVESTORS  [010233346-000] P  $6,920
           = SUBTOTAL       $      1,651,056
           = OTHER          $     -1,651,056
