SUPERIOR CHEMICAL CORPORATION  391099845 -- BusinessCode: 424600 -- WI : SHEBOYGAN
  [401(k)] NORTH WOODS TM 401(K) PLAN [391099845-001]
    2020  [codes: 2E2F2G2J2K3D2T2A]    https://efast2-filings-public.s3.amazonaws.com/prd/2021/4/13/20210413102447NAL0014088418001.pdf
        Participants: 44
        Available Investments:
           - JOHN HANCOCK USA
                 : AMERICAN BALANCED FUND  [010233346-000] P  $142,845
                 : AMERICAN CENTURY HERITAGE  [010233346-000] P  $0
                 : BLACKROCK TOTAL RETURN FUND  [010233346-000] P  $62,781
                 : BLUE CHIP GROWTH FUND  [010233346-000] P  $104,655
                 : CAPITAL APPRECIATION FUND  [010233346-000] P  $0
                 : CARILLON EAGLE MID CAP GROWTH  [010233346-000] P  $0
                 : CLEARBRIDGE AGGRESSIVE GROWTH  [010233346-000] P  $0
                 : DFA EMERGING MARKETS VALUE  [010233346-000] P  $0
                 : DFA INTERNATIONAL VALUE  [010233346-000] P  $0
                 : DFA INTL SMALL CAP VALUE  [010233346-000] P  $2,721
                 : DFA US LARGE COMPANY FUND  [010233346-000] P  $0
                 : EUROPACIFIC GROWTH FUND  [010233346-000] P  $4,340
                 : FIDELITY ADV NEW INSIGHTS  [010233346-000] P  $0
                 : FIDELITY ADVISOR TOTAL BOND  [010233346-000] P  $0
                 : FIDELITY INTERNATIONAL INDEX  [010233346-000] P  $3,214
                 : FINANCIAL INDUSTRIES FUND  [010233346-000] P  $19,156
                 : FUNDAMENTAL INVESTORS  [010233346-000] P  $0
                 : INTL EQUITY INDEX FUND  [010233346-000] P  $0
                 : INVESCO DEVELOPING MARKETS  [010233346-000] P  $0
                 : INVESTMENT COMPANY OF AMERICA  [010233346-000] P  $0
                 : JH MULTIMANAGER 2010 LIFETIME  [010233346-000] P  $0
                 : JH MULTIMANAGER 2015 LIFETIME  [010233346-000] P  $0
                 : JH MULTIMANAGER 2020 LIFETIME  [010233346-000] P  $0
                 : JH MULTIMANAGER 2025 LIFETIME  [010233346-000] P  $0
                 : JH MULTIMANAGER 2050 LIFETIME  [010233346-000] P  $0
                 : JH MULTIMANAGER AGGRESSIVE LS  [010233346-000] P  $102,247
                 : JH MULTIMANAGER BALANCED LS  [010233346-000] P  $577,137
                 : JH MULTIMANAGER CONSERV LS  [010233346-000] P  $7,175
                 : JH MULTIMANAGER GROWTH LS  [010233346-000] P  $1,215,702
                 : JH MULTIMANAGER MODERATE LS  [010233346-000] P  $65,942
                 : JOHN HANCOCK BOND FUND  [010233346-000] P  $0
                 : MFS UTILITIES FUND  [010233346-000] P  $22,421
                 : MID CAP INDEX FUND  [010233346-000] P  $22,002
                 : MONEY MARKET FUND  [010233346-000] P  $0
                 : NEW WORLD FUND  [010233346-000] P  $37,875
                 : PGIM TOTAL RETURN BOND FUND  [010233346-000] P  $75,226
                 : PIMCO REAL RETURN  [010233346-000] P  $0
                 : REAL EST. SECURITIES FUND  [010233346-000] P  $27,316
                 : SCIENCE & TECHNOLOGY FUND  [010233346-000] P  $0
                 : T. ROWE PRICE HEALTH SCI  [010233346-000] P  $2,143,110
                 : T. ROWE PRICE NEW ERA FUND  [010233346-000] P  $8,974
                 : T. ROWE PRICE OVERSEAS STOCK  [010233346-000] P  $29,366
                 : T. ROWE PRICE RETIREMENT 2010  [010233346-000] P  $12,675
                 : T. ROWE PRICE RETIREMENT 2015  [010233346-000] P  $29,967
                 : T. ROWE PRICE RETIREMENT 2020  [010233346-000] P  $62,250
                 : T. ROWE PRICE RETIREMENT 2025  [010233346-000] P  $243,434
                 : T. ROWE PRICE RETIREMENT 2035  [010233346-000] P  $2,170
                 : T. ROWE PRICE RETIREMENT 2050  [010233346-000] P  $50,241
                 : T. ROWE PRICE SCI & TECH  [010233346-000] P  $38,898
                 : TEMPLETON FOREIGN SMALLER CO  [010233346-000] P  $0
                 : THE GROWTH FUND OF AMERICA  [010233346-000] P  $0
                 : U.S. HIGH YIELD BOND FUND  [010233346-000] P  $0
                 : VANGUARD ENERGY FUND  [010233346-000] P  $15,244
                 : WASHINGTON MUTUAL INVESTORS  [010233346-000] P  $0
           = SUBTOTAL       $      5,129,084
           = OTHER          $     -5,129,084
