WISCONSIN SURGERY CENTER, LLC  383661215 -- BusinessCode: 621111 -- WI : MILWAUKEE
  [401(k)] WISCONSIN SURGERY CENTER, LLC 401(K) PLAN [383661215-001]
    2019  [codes: 2E2F2G2J2K2T3D]    https://efast2-filings-public.s3.amazonaws.com/prd/2020/9/5/20200905001243NAL0030259426001.pdf
        Participants: 17
        Available Investments:
           - JOHN HANCOCK USA
                 : 500 INDEX FUND  [010233346-000] P  $7,184
                 : AMERICAN BALANCED FUND  [010233346-000] P  $2,105
                 : BLACKROCK GLOBAL ALLOCATION  [010233346-000] P  $2,497
                 : CLEARBRIDGE AGGRESSIVE GROWTH  [010233346-000] P  $4,211
                 : DFA EMERGING MARKETS VALUE  [010233346-000] P  $11,125
                 : EUROPACIFIC GROWTH FUND  [010233346-000] P  $28,260
                 : FRANKLIN SMALL-MID GROWTH  [010233346-000] P  $1,070
                 : INVESCO OPPENHEIMER GLOBAL  [010233346-000] P  $6,210
                 : INVESTMENT COMPANY OF AMERICA  [010233346-000] P  $2,351
                 : JH MULTIMANAGER AGGRESSIVE LS  [010233346-000] P  $77,012
                 : JH MULTIMANAGER BALANCED LS  [010233346-000] P  $76,857
                 : JH MULTIMANAGER GROWTH LS  [010233346-000] P  $9,399
                 : JOHN HANCOCK DISCIPLINED VALUE  [010233346-000] P  $15,213
                 : JOHN HANCOCK INTL GROWTH  [010233346-000] P  $5,320
                 : MFS UTILITIES FUND  [010233346-000] P  $9,277
                 : MID CAP INDEX FUND  [010233346-000] P  $1,009
                 : MID VALUE FUND  [010233346-000] P  $6,051
                 : MUTUAL GLOBAL DISCOVERY  [010233346-000] P  $19,167
                 : PIMCO ALL ASSET  [010233346-000] P  $10,475
                 : PIMCO REAL RETURN  [010233346-000] P  $173
                 : REAL EST. SECURITIES FUND  [010233346-000] P  $2,465
                 : SMALL CAP INDEX FUND  [010233346-000] P  $888
                 : T. ROWE PRICE EQUITY INC  [010233346-000] P  $7,047
                 : T. ROWE PRICE HEALTH SCI  [010233346-000] P  $61,525
                 : T. ROWE PRICE SPECTRUM INC  [010233346-000] P  $657
                 : TEMPLETON WORLD  [010233346-000] P  $1,923
                 : VANGUARD ENERGY FUND  [010233346-000] P  $26,654
                 : VANGUARD SMALL CAP VALUE INDEX  [010233346-000] P  $8,374
           = SUBTOTAL       $        404,499
           = OTHER          $       -404,499
